City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Yunhe,34.08,119.72,86.92,81,90,6.69,CN
Inhambane,-23.86,35.38,61.83,80,0,6.42,MZ
Makkah al Mukarramah,21.43,39.83,85.32,62,6,21.9,SA
Punta Arenas,-53.15,-70.92,37.2,93,100,18.34,CL
Port Macquarie,-31.43,152.92,66.0,58,0,1.7,AU
Castro,-24.79,-50.01,50.65,97,37,6.22,BR
Barrow,71.29,-156.79,39.2,80,75,5.82,US
Airai,-8.93,125.41,69.96,33,21,4.54,TL
Port Alfred,-33.59,26.89,55.8,77,0,5.55,ZA
Belfast,54.58,-5.93,58.39,82,100,6.93,GB
Waupun,43.63,-88.73,68.54,77,40,3.51,US
Jamestown,42.1,-79.24,70.3,73,1,4.7,US
Bambous Virieux,-20.34,57.76,68.47,83,40,3.36,MU
Tual,-5.67,132.75,78.04,83,84,22.82,ID
Klaksvík,62.23,-6.59,51.8,100,84,13.87,FO
Torbay,47.67,-52.73,58.86,93,90,8.05,CA
Bluff,-46.6,168.33,52.97,83,100,1.61,NZ
Muroto-misakicho,33.28,134.15,86.0,70,75,6.93,JP
Vung Tau,10.35,107.08,81.48,82,100,18.81,VN
Nabire,-3.37,135.48,84.76,72,30,4.07,ID
Yellowknife,62.46,-114.35,69.57,49,75,10.29,CA
Najrān,17.49,44.13,78.8,54,96,12.75,SA
Pervomayskoye,43.92,46.71,69.53,69,1,7.38,RU
Sokol,59.46,40.12,50.0,97,58,2.28,RU
Hilo,19.73,-155.09,76.95,61,90,11.41,US
Nanortalik,60.14,-45.24,43.34,86,27,12.53,GL
Prince Rupert,54.32,-130.32,68.0,60,75,3.36,CA
Imeni Vorovskogo,55.72,38.34,56.32,87,2,2.24,RU
Rocha,-34.48,-54.33,45.36,93,0,1.74,UY
Palmer,42.16,-72.33,69.08,73,20,0.16,US
Salalah,17.02,54.09,82.4,88,90,8.05,OM
Souillac,-20.52,57.52,69.8,83,40,3.36,MU
Avarua,-21.21,-159.78,73.4,60,17,4.7,CK
